name,business,niche,city,state,source,link,contact,email,status,notes
,landscapingbbs.com,lawn care,San Antonio,TX,ddg,https://landscapingbbs.com,contact@landscapingbbs.com,contact@landscapingbbs.com,new,
,groundsguys.com,lawn care,San Antonio,TX,ddg,https://groundsguys.com,name@domain.com,name@domain.com,junk,placeholder/directory email
,that1painter.com,painter,San Antonio,TX,ddg,https://that1painter.com,info@that1painter.com,info@that1painter.com,new,
,satxpainters.com,painter,San Antonio,TX,ddg,https://satxpainters.com,contact@satxpainters.com,contact@satxpainters.com,new,
,painterssanantoniotx.com,painter,San Antonio,TX,ddg,https://painterssanantoniotx.com,contact@painterssanantoniotx.com,contact@painterssanantoniotx.com,new,
,revivalpaintingtx.com,painter,San Antonio,TX,ddg,https://revivalpaintingtx.com,hello@fogdigitalmarketing.com,hello@fogdigitalmarketing.com,new,
,sahits.com,painter,San Antonio,TX,ddg,https://sahits.com,your@email.com,your@email.com,new,
,allgoodelectric.com,electrician,San Antonio,TX,ddg,https://allgoodelectric.com,troy@allgoodelectric.com,troy@allgoodelectric.com,new,
,suahandyman.com,handyman,San Antonio,TX,ddg,https://suahandyman.com,soardefenders@gmail.com,soardefenders@gmail.com,new,
,handymanhub.com,handyman,San Antonio,TX,ddg,https://handymanhub.com,info@handymanhub.com,info@handymanhub.com,new,
,sirhandymanservices.com,handyman,San Antonio,TX,ddg,https://sirhandymanservices.com,percival@sirhandymanservices.com,percival@sirhandymanservices.com,new,
,samuelshandymanservice.com,handyman,San Antonio,TX,ddg,https://samuelshandymanservice.com,samuelshandymanservice@gmail.com,samuelshandymanservice@gmail.com,new,
,seanshandymanservices.com,handyman,San Antonio,TX,ddg,https://seanshandymanservices.com,seanjameshandyman@gmail.com,seanjameshandyman@gmail.com,new,
,getspruce.com,house cleaner,San Antonio,TX,ddg,https://getspruce.com,service@getspruce.com,service@getspruce.com,new,
,mylupeshousecleaning.co,house cleaner,San Antonio,TX,ddg,https://mylupeshousecleaning.co,emailus@mylupeshousecleaning.co,emailus@mylupeshousecleaning.co,new,
,maidsonamissionus.com,house cleaner,San Antonio,TX,ddg,https://maidsonamissionus.com,info@maidsonamissionus.com,info@maidsonamissionus.com,new,
,sparklymaidsanantonio.com,house cleaner,San Antonio,TX,ddg,https://sparklymaidsanantonio.com,user@domain.com,user@domain.com,junk,
,hellamaid.com,house cleaner,San Antonio,TX,ddg,https://hellamaid.com,support@hellamaid.com,support@hellamaid.com,new,
,sanantoniopressurewashing.com,pressure washing,San Antonio,TX,ddg,https://sanantoniopressurewashing.com,kobe.martinez@sanantoniopressurewashing.com,kobe.martinez@sanantoniopressurewashing.com,new,
,210pressurewashing.com,pressure washing,San Antonio,TX,ddg,https://210pressurewashing.com,210pressurewashing@gmail.com,210pressurewashing@gmail.com,new,
,supremepowerwash.com,pressure washing,San Antonio,TX,ddg,https://supremepowerwash.com,sales@supremepowerwash.com,sales@supremepowerwash.com,new,
,texaspureclean.com,pressure washing,San Antonio,TX,ddg,https://texaspureclean.com,bill@texaspureclean.com,bill@texaspureclean.com,new,
,powerwashsa.com,pressure washing,San Antonio,TX,ddg,https://powerwashsa.com,hello@sahomepros.com,hello@sahomepros.com,new,
,texasscrubhub.com,pressure washing,San Antonio,TX,ddg,https://texasscrubhub.com,cleanbins@texasscrubhub.com,cleanbins@texasscrubhub.com,new,
,torrespressurewashing.com,pressure washing,San Antonio,TX,ddg,https://torrespressurewashing.com,info@torrespressurewashing.com,info@torrespressurewashing.com,new,
,eagerbeaverpowerwashing.com,pressure washing,San Antonio,TX,ddg,https://eagerbeaverpowerwashing.com,frank.ruiz@gofilta.com,frank.ruiz@gofilta.com,new,
,maxcraftdetailing.com,auto detailer,San Antonio,TX,ddg,https://maxcraftdetailing.com,maxcraftdetailing@gmail.com,maxcraftdetailing@gmail.com,new,
,thedetailcode.com,auto detailer,San Antonio,TX,ddg,https://thedetailcode.com,amber@thedetailcode.com,amber@thedetailcode.com,new,
,freshstartdetailers.com,auto detailer,San Antonio,TX,ddg,https://freshstartdetailers.com,customerservice@freshstartdetailers.com,customerservice@freshstartdetailers.com,new,
,alamoautoaesthetics.com,auto detailer,San Antonio,TX,ddg,https://alamoautoaesthetics.com,alamoautoaesthetics@gmail.com,alamoautoaesthetics@gmail.com,new,
,craneautodetailing.com,auto detailer,San Antonio,TX,ddg,https://craneautodetailing.com,info@craneautodetailing.com,info@craneautodetailing.com,new,
,1detailatatime.com,auto detailer,San Antonio,TX,ddg,https://1detailatatime.com,rromerojr1@gmail.com,rromerojr1@gmail.com,new,
,austinsgreatestplumbing.com,plumber,Austin,TX,ddg,https://austinsgreatestplumbing.com,customerservice@acaciasplumbing.com,customerservice@acaciasplumbing.com,new,
,peanutplumbingtx.com,plumber,Austin,TX,ddg,https://peanutplumbingtx.com,peanutplumbing@gmail.com,peanutplumbing@gmail.com,new,
,plumbinatoraustin.com,plumber,Austin,TX,ddg,https://plumbinatoraustin.com,wendyslove@gmail.com,wendyslove@gmail.com,new,
,statesman.com,plumber,Austin,TX,ddg,https://statesman.com,ybarra-@photo.jay,ybarra-@photo.jay,new,
,austin-plumber.com,plumber,Austin,TX,ddg,https://austin-plumber.com,christian@adeptplumbing.com,christian@adeptplumbing.com,new,
,austinplumbing.com,plumber,Austin,TX,ddg,https://austinplumbing.com,service@austinplumbing.com,service@austinplumbing.com,new,
,homeservicespros.com,plumber,Austin,TX,ddg,https://homeservicespros.com,hello@homeservicespros.com,hello@homeservicespros.com,new,
,austinroofer.com,roofer,Austin,TX,ddg,https://austinroofer.com,info@austinroofer.com,info@austinroofer.com,new,
,austinarearoofers.com,roofer,Austin,TX,ddg,https://austinarearoofers.com,info@austinarearoofers.com,info@austinarearoofers.com,new,
,rooftxconstruction.com,roofer,Austin,TX,ddg,https://rooftxconstruction.com,info@rooftxconstruction.com,info@rooftxconstruction.com,new,
,arkroofer.com,roofer,Austin,TX,ddg,https://arkroofer.com,office@arkroofer.com,office@arkroofer.com,new,
,priorityroofs.com,roofer,Austin,TX,ddg,https://priorityroofs.com,newmexico@priorityroofs.com,newmexico@priorityroofs.com,new,
,austinroofingcompany.us,roofer,Austin,TX,ddg,https://austinroofingcompany.us,admin@austinroofingcompany.us,admin@austinroofingcompany.us,new,
,wilsonroofing.com,roofer,Austin,TX,ddg,https://wilsonroofing.com,info@wilsonroofing.com,info@wilsonroofing.com,new,
,grassworksaustin.com,lawn care,Austin,TX,ddg,https://grassworksaustin.com,info@grassworksaustin.com,info@grassworksaustin.com,new,
,lawncareaustintx.com,lawn care,Austin,TX,ddg,https://lawncareaustintx.com,info@lawncareaustintx.com,info@lawncareaustintx.com,new,
,lawncareservicesaustin.com,lawn care,Austin,TX,ddg,https://lawncareservicesaustin.com,karenfaulk774@gmail.com,karenfaulk774@gmail.com,new,
,catheyslawncare.com,lawn care,Austin,TX,ddg,https://catheyslawncare.com,catheyslandscapes@gmail.com,catheyslandscapes@gmail.com,new,
,texpainting.com,painter,Austin,TX,ddg,https://texpainting.com,info@texpainting.com,info@texpainting.com,new,
,texaspridepaintingllc.com,painter,Austin,TX,ddg,https://texaspridepaintingllc.com,info@texaspridepaintingllc.com,info@texaspridepaintingllc.com,new,
,paintersaustintx.com,painter,Austin,TX,ddg,https://paintersaustintx.com,contact@paintersaustintx.com,contact@paintersaustintx.com,new,
,consumeraffairs.com,electrician,Austin,TX,ddg,https://consumeraffairs.com,0954ab4f6a2d469b816f8ed8a2d0f5da@stderr.consumeraffairs.com,0954ab4f6a2d469b816f8ed8a2d0f5da@stderr.consumeraffairs.com,new,
,terrapinelectric.com,electrician,Austin,TX,ddg,https://terrapinelectric.com,info@terrapinelectric.com,info@terrapinelectric.com,new,
,handymanaustintx.net,handyman,Austin,TX,ddg,https://handymanaustintx.net,info@handymanaustintx.net,info@handymanaustintx.net,new,
,theatxhandyman.com,handyman,Austin,TX,ddg,https://theatxhandyman.com,help@theatxhandyman.com,help@theatxhandyman.com,new,
,myaustinhandyman.com,handyman,Austin,TX,ddg,https://myaustinhandyman.com,contact@sansoxygen.com,contact@sansoxygen.com,new,
,austinhousecleaners.com,house cleaner,Austin,TX,ddg,https://austinhousecleaners.com,austinhousecleaners@gmail.com,austinhousecleaners@gmail.com,new,
,sweptupcleaningatx.com,house cleaner,Austin,TX,ddg,https://sweptupcleaningatx.com,you@email.com,you@email.com,new,
,austintxcleaningcrew.com,house cleaner,Austin,TX,ddg,https://austintxcleaningcrew.com,support@austintxcleaningcrew.com,support@austintxcleaningcrew.com,new,
,airtasker.com,house cleaner,Austin,TX,ddg,https://airtasker.com,support@airtasker.com,support@airtasker.com,new,
,pressurewasheraustin.com,pressure washing,Austin,TX,ddg,https://pressurewasheraustin.com,info@pressurewasheraustin.com,info@pressurewasheraustin.com,new,
,hillcountrypressurewash.com,pressure washing,Austin,TX,ddg,https://hillcountrypressurewash.com,hillcopressurewash@gmail.com,hillcopressurewash@gmail.com,new,
,powerwashaustin.com,pressure washing,Austin,TX,ddg,https://powerwashaustin.com,care@atxcleanllc.com,care@atxcleanllc.com,new,
,pressurewashingofaustin.com,pressure washing,Austin,TX,ddg,https://pressurewashingofaustin.com,pressurewashingofaustin@gmail.com,pressurewashingofaustin@gmail.com,new,
,washaustin.com,pressure washing,Austin,TX,ddg,https://washaustin.com,washaustin@atx-softwash.com,washaustin@atx-softwash.com,new,
,activatepressurewashing.com,pressure washing,Austin,TX,ddg,https://activatepressurewashing.com,christian@activatepw.com,christian@activatepw.com,new,
,atxpurepressure.com,pressure washing,Austin,TX,ddg,https://atxpurepressure.com,example@mysite.com,example@mysite.com,junk,
,austinpressurewashingservices.com,pressure washing,Austin,TX,ddg,https://austinpressurewashingservices.com,eugene.apws@gmail.com,eugene.apws@gmail.com,new,
,austinpressurewashing.co,pressure washing,Austin,TX,ddg,https://austinpressurewashing.co,austin@austinpressurewashing.co,austin@austinpressurewashing.co,new,
,padtx.com,auto detailer,Austin,TX,ddg,https://padtx.com,wesley@padtx.com,wesley@padtx.com,new,
,thewaxshackdetailing.com,auto detailer,Austin,TX,ddg,https://thewaxshackdetailing.com,george@thewaxshackdetailing.com,george@thewaxshackdetailing.com,new,
,anaautodetailing.com,auto detailer,Austin,TX,ddg,https://anaautodetailing.com,610aaautodetailing@gmail.com,610aaautodetailing@gmail.com,new,
,rinsodetail.com,auto detailer,Austin,TX,ddg,https://rinsodetail.com,rinsoauto@gmail.com,rinsoauto@gmail.com,new,
,austin-autodetail.com,auto detailer,Austin,TX,ddg,https://austin-autodetail.com,info@signaturemobiledetailaz.com,info@signaturemobiledetailaz.com,new,
,met-plumbing.com,plumber,Houston,TX,ddg,https://met-plumbing.com,csr@metplumbing.com,csr@metplumbing.com,new,
,nicksplumbing.com,plumber,Houston,TX,ddg,https://nicksplumbing.com,service@nicksplumbing.com,service@nicksplumbing.com,new,
,fyi.group,plumber,Houston,TX,ddg,https://fyi.group,david@ascendlymarketing.com,david@ascendlymarketing.com,new,
,rooftek.com,roofer,Houston,TX,ddg,https://rooftek.com,jake@rooftek.com,jake@rooftek.com,new,
,riseroofinghouston.com,roofer,Houston,TX,ddg,https://riseroofinghouston.com,office@riseroofinghouston.com,office@riseroofinghouston.com,new,
,mmroofsiding.com,roofer,Houston,TX,ddg,https://mmroofsiding.com,info@mmroofsiding.com,info@mmroofsiding.com,new,
,txroofingandservices.com,roofer,Houston,TX,ddg,https://txroofingandservices.com,info@txroofingandservices.com,info@txroofingandservices.com,new,
,roseroofing.com,roofer,Houston,TX,ddg,https://roseroofing.com,office@roseroofing.com,office@roseroofing.com,new,
,houstonroofingonline.com,roofer,Houston,TX,ddg,https://houstonroofingonline.com,info@myhrc.biz,info@myhrc.biz,new,
,naturalawn.com,lawn care,Houston,TX,ddg,https://naturalawn.com,begreen@naturalawn.com,begreen@naturalawn.com,new,
,houstonlawncaresolutions.com,lawn care,Houston,TX,ddg,https://houstonlawncaresolutions.com,info@houstonlawncaresolutions.com,info@houstonlawncaresolutions.com,new,
,evergreenlawncaretx.com,lawn care,Houston,TX,ddg,https://evergreenlawncaretx.com,jorge@evergreenoutdoorservicestx.com,jorge@evergreenoutdoorservicestx.com,new,
,houstontexaspainters.com,painter,Houston,TX,ddg,https://houstontexaspainters.com,support@houstontexaspainters.com,support@houstontexaspainters.com,new,
,nicepainter.com,painter,Houston,TX,ddg,https://nicepainter.com,tim@nicepainter.com,tim@nicepainter.com,new,
,houstonsuperiorpainting.com,painter,Houston,TX,ddg,https://houstonsuperiorpainting.com,info@houstonsuperiorpainting.com,info@houstonsuperiorpainting.com,new,
,paintersinhoustontx.com,painter,Houston,TX,ddg,https://paintersinhoustontx.com,contact@paintersinhoustontx.com,contact@paintersinhoustontx.com,new,
,mistersparky-houston.com,electrician,Houston,TX,ddg,https://mistersparky-houston.com,team@abrhco.com,team@abrhco.com,new,
,houston-electric.net,electrician,Houston,TX,ddg,https://houston-electric.net,1houstonelectric@gmail.com,1houstonelectric@gmail.com,new,
,electricianhtx.com,electrician,Houston,TX,ddg,https://electricianhtx.com,emigaona1975@gmail.com,emigaona1975@gmail.com,new,
,houstonhandyman.com,handyman,Houston,TX,ddg,https://houstonhandyman.com,email@houstonhandyman.com,email@houstonhandyman.com,new,
,handyman.com,handyman,Houston,TX,ddg,https://handyman.com,support@handyman.com,support@handyman.com,new,
,mygoodsmith.com,handyman,Houston,TX,ddg,https://mygoodsmith.com,maren.omar@yahoo.com,maren.omar@yahoo.com,new,
,texas-handyman.com,handyman,Houston,TX,ddg,https://texas-handyman.com,info@handyman77095.com,info@handyman77095.com,new,
,thehtownhandyman.com,handyman,Houston,TX,ddg,https://thehtownhandyman.com,info@htownhman.com,info@htownhman.com,new,
,txhandymandirectory.com,handyman,Houston,TX,ddg,https://txhandymandirectory.com,hello@txhandymandirectory.com,hello@txhandymandirectory.com,new,
,tidy.com,house cleaner,Houston,TX,ddg,https://tidy.com,sales@tidy.com,sales@tidy.com,new,
,crmaids.com,house cleaner,Houston,TX,ddg,https://crmaids.com,crew@crmaids.com,crew@crmaids.com,new,
,713cleaning.com,house cleaner,Houston,TX,ddg,https://713cleaning.com,info@713cleaning.com,info@713cleaning.com,new,
,care.com,house cleaner,Houston,TX,ddg,https://care.com,support@care.com,support@care.com,new,
,jvshomecleaning.com,house cleaner,Houston,TX,ddg,https://jvshomecleaning.com,bookings@jvshomecleaning.com,bookings@jvshomecleaning.com,new,
,kathycleanhouston.com,house cleaner,Houston,TX,ddg,https://kathycleanhouston.com,info@kathyclean.com,info@kathyclean.com,new,
,texas-pressurewashing.com,pressure washing,Houston,TX,ddg,https://texas-pressurewashing.com,sales@texaspw.com,sales@texaspw.com,new,
,pressurewashinghoustontx.com,pressure washing,Houston,TX,ddg,https://pressurewashinghoustontx.com,info@pressurewashinghoustontx.com,info@pressurewashinghoustontx.com,new,
,htxpressurewash.com,pressure washing,Houston,TX,ddg,https://htxpressurewash.com,htxpressureco@gmail.com,htxpressureco@gmail.com,new,
,cesarpressurewashing.com,pressure washing,Houston,TX,ddg,https://cesarpressurewashing.com,migmix02@gmail.com,migmix02@gmail.com,new,
,txpristinepw.com,pressure washing,Houston,TX,ddg,https://txpristinepw.com,texaspristinepw@gmail.com,texaspristinepw@gmail.com,new,
,texaspressurewashingstore.com,pressure washing,Houston,TX,ddg,https://texaspressurewashingstore.com,sales@tpwstore.com,sales@tpwstore.com,new,
,houstonautodetails.com,auto detailer,Houston,TX,ddg,https://houstonautodetails.com,houstonautodetails713@gmail.com,houstonautodetails713@gmail.com,new,
,autopuredetailing.com,auto detailer,Houston,TX,ddg,https://autopuredetailing.com,eben@eyebytes.com,eben@eyebytes.com,new,
,lustraautodetailing.com,auto detailer,Houston,TX,ddg,https://lustraautodetailing.com,lustra.autodetailings@gmail.com,lustra.autodetailings@gmail.com,new,
,chowsdetailinghouston.com,auto detailer,Houston,TX,ddg,https://chowsdetailinghouston.com,chowsdetailing@gmail.com,chowsdetailing@gmail.com,new,
,azulautodetailing.com,auto detailer,Houston,TX,ddg,https://azulautodetailing.com,contact@azulautodetailing.com,contact@azulautodetailing.com,new,
,houstontxautodetailing.com,auto detailer,Houston,TX,ddg,https://houstontxautodetailing.com,info@houstontxautodetailing.com,info@houstontxautodetailing.com,new,
